question_id,title,description,tags,accepted_answer_id,view_count,creation_date
79559702,NameError: name &#39;init_empty_weights&#39; is not defined while using hugging face models,,"nlp,huggingface-transformers,huggingface",79577000,645,1744023761
79549787,Why does Presidio with spacy nlp engine not recognize organizations and PESEL while spaCy does?,,"python,nlp,spacy,presidio",79552218,99,1743573371
79548202,"GPT-2 and other models from huggingface -100 label index for training, instead of pad token",,"nlp,huggingface-transformers,pre-trained-model",79551169,55,1743499277
79523269,Trouble getting importing gensim to work in colab,,"numpy,nlp,dependencies,google-colaboratory,gensim",79523777,222,1742481362
79501178,Store images instead of showing in a server,,"python,nlp,large-language-model",79501337,39,1741704631
79482283,Presidio with Langchain Experimental does not detect Polish names,,"python,nlp,spacy,langchain,presidio",79495969,241,1741040827
79459888,OpenNLP POSTaggerME and ChunkerME synergy,,"nlp,opennlp",79475445,42,1740240371
79419884,Underfitting Pre-Trained Glove + LSTM Model: Accurcacy Unchanged,,"keras,deep-learning,nlp,lstm,sentiment-analysis",79425201,50,1738896505
79330283,Can&#39;t compile Marian NMT,,"gcc,cmake,nlp,g++",79332711,76,1736057099
79328514,how to get custom column in the model&#39;s forward() function when training with Huggingface Trainer?,,"pytorch,nlp,large-language-model,huggingface-trainer",79328698,44,1735981064
79312133,Getting all leaf words (reverse stemming) into one Python List,,"python,nlp,nltk",79312987,54,1735311845
79298368,Inspect all probabilities of BERTopic model,,"python,nlp,topic-modeling",79299703,61,1734727774
79293919,Determining most popular words in the English dictionary within a dictionary of words,,"python,nlp,nltk,detection",79294074,73,1734603844
79293889,catelog sentences into 5 words that represent them,,"python,pandas,nlp,text-mining,similarity",79294099,57,1734603407
79253283,Counting the Frequency of Some Words within some other Key Words in Text,,"python,pandas,nlp",79263000,84,1733367906
79247672,Error in getting Captum text explanations for text classification,,"machine-learning,pytorch,nlp,huggingface-transformers,text-classification",79248379,92,1733230065
79247594,euclidian distance from word to sentence after doing Vectorizer,,"pandas,dataframe,nlp,text-classification,tf-idf",79248087,46,1733228705
79234004,Llama-3.2-1B-Instruct generate inconsistent output,,"python,nlp,huggingface-transformers,large-language-model",79246602,696,1732798957
79192130,Using an AWS service to execute a python script that will extract keywords from text using keyBERT?,,"python,amazon-web-services,aws-lambda,nlp,large-language-model",79192427,60,1731669216
79178041,Normalization of token embeddings in BERT encoder blocks,,"nlp,normalization,bert-language-model,attention-model",79238393,180,1731335431
79173053,How to convert character indices to BERT token indices,,"python,nlp,dataset,large-language-model,bert-language-model",79175157,39,1731165333
79159805,How can I share a complex spaCy NLP model across multiple Python processes to minimize memory usage?,,"nlp,multiprocessing,python-multiprocessing,spacy",79162232,97,1730821773
79155290,"Dutch sentiment analysis RobBERTje outputs just positive/negative labels, netural label is missing",,"python,nlp,bert-language-model,roberta-language-model",79155380,58,1730720195
79148979,Finding Root Form of Verbs using Curiosity-AI/Catalyst,,"c#,nlp",79160163,143,1730483881
79145419,Is it possible to get embeddings from NV-Embed using Candle?,,"machine-learning,rust,nlp",79156470,336,1730390149
79111733,"How to derive attributes/labels from short plain text descriptions? (NER, LLM, ?)",,"nlp,artificial-intelligence,large-language-model,named-entity-recognition",79113907,185,1729544096
79102797,Varying embedding dim due to changing padding in batch size,,"python,text,nlp,padding,data-preprocessing",79105117,49,1729266891
79100835,How can I adjust the performance of tokenizer?,,"nlp,huggingface-transformers,huggingface,huggingface-tokenizers",79107575,50,1729233915
79081924,"With spaCy, how can I get all lemmas from a string?",,"python,pandas,nlp,spacy,lemmatization",79086290,105,1728767001
79057082,Avoiding overlap in frequency and document frequency count in Quanteda,,"r,count,nlp,overlap,quanteda",79058791,61,1728132232
79005985,Seq2Seq trainer.train() keeps giving indexing error,,"python,nlp,huggingface-transformers,huggingface-trainer",79007590,57,1726821812
78985137,Alternative to device_map = &quot;auto&quot; in Huggingface Pretrained,,"machine-learning,deep-learning,nlp,huggingface-transformers",79007343,1084,1726317723
78966943,How are the weights of the Mistral models reinitialized in Huggingface?,,"nlp,huggingface-transformers,large-language-model,mistral-7b",78969695,185,1725909952
78957322,Break after first PER sequence found with Spacy,,"python,nlp,spacy",78957722,43,1725628472
78949607,Trainer huggingface - RuntimeError: cannot pin &#39;torch.cuda.FloatTensor&#39; only dense CPU tensors can be pinned,,"nlp,huggingface-transformers",79112186,1516,1725466158
78943401,Fine-tuning a Pretrained Model with Quantization and AMP: Scaler Error &quot;Attempting to Unscale FP16 Gradients&quot;,,"python,pytorch,nlp,huggingface-transformers,fine-tuning",78945455,518,1725352703
78933232,Keep training pytorch model on new data,,"python,scikit-learn,pytorch,nlp,python-polars",78934212,284,1725040079
78932356,Capitalized words in sentiment analysis,,"nlp,sentiment-analysis,bert-language-model,data-preprocessing",78933236,135,1725025796
78920095,cannot import name &#39;split_torch_state_dict_into_shards&#39; from &#39;huggingface_hub&#39;,,"python,nlp,huggingface-transformers,transformer-model,llama",78920098,6146,1724779242
78917743,How to Process Data on GPU Instead of RAM for This Python Code?,,"nlp,gpu,torch,openai-whisper",78918851,64,1724745808
78912171,How to Visualize Cross-Attention Matrices in MarianMTModel During Output Generation,,"python,pytorch,nlp,huggingface-transformers",78915504,403,1724616834
78905614,Why doesn&#39;t permuting positional encodings in BERT affect the output as expected?,,"python,pytorch,nlp,huggingface-transformers",78906902,80,1724411528
78901998,How does OpenAIEmbeddings() work? Is it creating a single vector of size 1536 for whole text corpus?,,"deep-learning,nlp,openai-api,openaiembeddings",78902136,620,1724335765
78895710,"NER versus LLM to extract name, gender, role and company from text",,"nlp,large-language-model,named-entity-recognition",78896098,1632,1724225953
78887743,Does Padding in a Batch of Sequences Affect Performance? How Effective is the Attention Mask?,,"pytorch,nlp,huggingface-transformers,transformer-model",78890409,546,1724068146
78865486,SpaCy Matcher with optional suffix in pattern reports multiple matches on same text,,"nlp,spacy,matcher",78870921,39,1723541843
78862691,`mlflow.transformers.log_model()` does not finish,,"python,nlp,huggingface-transformers,mlflow,mlops",78877979,354,1723480052
78853409,NLLB Fine-Tuning Error: Missing data_prefix Configuration (English-German Translation),,"python,nlp,machine-translation,fine-tuning,fairseq",78854613,160,1723214814
78846004,How can I use structured_output with Azure OpenAI with the openai Python library?,,"python,nlp,azure-openai,gpt-4",78946352,1227,1723072459
78836208,Removing bi-grams after tokenization for TfidfVectorizer,,"python,scikit-learn,nlp,preprocessor,tfidfvectorizer",78837616,42,1722887200
78823069,HuggingFace LLM Evaluate: RuntimeError: isin_Tensor_Tensor_out only works on floating types on MPS for pre MacOS_14_0. Received dtype: Long,,"pytorch,nlp,apple-m1,huggingface,huggingface-evaluate",78875218,859,1722547156
78809281,ImportError: cannot import name &#39;pre_init&#39; from &#39;langchain_core.utils&#39;,,"python,pip,nlp,langchain,large-language-model",78809283,1817,1722293953
78778988,Do I need to use Named Entity Recognition (NER) in tokenization?,,"python,python-3.x,nlp,spacy,named-entity-recognition",78780820,385,1721654894
78773758,"IndexError: list index out of range, when trying to predict from the fine tuned model using Hugginface",,"nlp,huggingface-transformers,huggingface,fine-tuning",78775082,115,1721504683
78710185,not able END function using &quot;add_conditional_edges&quot; in lang graph,,"nlp,langchain,langgraph",78713763,1997,1720164558
78707861,How to make dynamic API calls based on user input in a Gemini application python nlp?,,"python,nlp,request,google-cloud-vertex-ai,google-gemini",78708210,458,1720105878
78685093,Alternative to Receptive field in Transformers and what factors impact it,,"nlp,huggingface-transformers,receptive-field",78687012,147,1719637110
78661728,implement a search engine chain using tavily in langchain,,"python,nlp,search-engine,langchain,chain",78910571,520,1719223266
78639577,Understanding the results of Transformers Learn In Context with Gradient Descent,,"machine-learning,nlp,large-language-model,transformer-model,meta-learning",78645188,137,1718743425
78631769,Problems with Named Entity Recognition in spaCy using German de_dep_news_trf Pipeline,,"python,nlp,spacy",78632377,201,1718615669
78612251,How do we add/modify the normalizer in a pretrained Huggingface tokenizer?,,"python,nlp,large-language-model,huggingface-tokenizers",78624238,312,1718190239
78586621,HuggingFace pipeline - Debug prompt,,"python,nlp,huggingface-transformers",78587273,384,1717677407
78575305,AttributeError: &#39;TrainingArguments&#39; object has no attribute &#39;model_init_kwargs&#39;,,"python,nlp,huggingface-transformers,large-language-model,peft",78578835,4589,1717502794
78573280,Unable to fit new documents without running out of memory in STM topic modeling,,"r,nlp,lda,stm",78573322,25,1717472515
78552651,How to fix error `OSError: &lt;model&gt; does not appear to have a file named config.json.` when loading custom fine-tuned model?,,"pytorch,nlp,huggingface-transformers,large-language-model,peft",78564203,3064,1717036616
78538749,Not able to install spacy==2.3.5 version,,"python,parsing,pip,nlp,spacy",78541534,213,1716808809
78525770,Filtering stop words out of a multiple text files (using a list of stop words),,"python,nlp",78527729,44,1716502512
78489915,How to lemmatize text column in pandas dataframes using stanza?,,"pandas,nlp,tokenize,lemmatization,stanza",78491545,72,1715862890
78485347,Encode a list of sentences into embeddings using a HuggingFace model not in its hub,,"nlp,huggingface-transformers,encode,embedding,huggingface",78502336,771,1715791179
78461078,How to optimize this function and improve running time?,,"python,performance,optimization,nlp,nltk",78461789,47,1715354280
78455102,Why doesn&#39;t fuzzywuzzy&#39;s process.extractBests give a 100% score when the tested string 100% contains the query string?,,"python,nlp,string-matching,fuzzywuzzy",78455186,76,1715264676
78443980,FastText language_identification in R returns too many arguments - how to match to texts?,,"r,nlp,fasttext,language-detection",78444037,132,1715100381
78430524,Determining contents of decoder_hidden_states from T5ForConditionalGeneration,,"pytorch,nlp,huggingface-transformers",78447718,121,1714860817
78397201,Extracting only technical keywords from a text using RAKE library in Python,,"python,python-3.x,nlp,nltk,rake",78406317,328,1714283530
78394225,Langchain sql agent with context,,"text,nlp,langchain",78402358,1083,1714204199
78393709,Performance of textSimilarity() from R&#39;s text library,,"r,performance,nlp,huggingface-transformers",78407238,248,1714187758
78383619,How to Generate Text with Specific Length Using AI API,,"python,nlp,openai-api,text-generation",78383634,237,1714037456
78375631,ValueError: Cannot use a compiled regex as replacement pattern with regex=False,,"python,text,nlp",78375724,333,1713923527
78371741,No Attention returned even when output_attentions= True,,"nlp,huggingface-transformers,bert-language-model,transformer-model,attention-model",78492414,424,1713869330
78365608,Fine-tuning BERT with deterministic masking instead of random masking,,"nlp,huggingface-transformers,bert-language-model",78510287,345,1713782345
78344999,Stanford NLP Annotation pipeline.annotate resulting into OutOfMemoryError in Java,,"java,nlp,out-of-memory",78345170,26,1713417210
78344850,How to tag words that not include one specific symbol in Spacy?,,"python,nlp,pattern-matching,spacy",78348925,31,1713414070
78324647,Sklearm FeatureHasher not working on a single column in a dataframe,,"pandas,machine-learning,scikit-learn,nlp",78324733,111,1713115217
78317989,Is it possible to fine-tune a pretrained word embedding model like vec2word?,,"python,nlp,artificial-intelligence,word2vec,word-embedding",78323755,1350,1712944676
78314842,R Tidymodels textrecipes - tokenizing with spacyR - how to remove punctuations from produced list of tokens,,"r,nlp,spacy,tidymodels",78317136,90,1712907594
78307073,"LangChain agent parsing error with structured_chat_agent and Wikipedia tool, handle_parsing_errors hits limit",,"python,nlp,openai-api,langchain,large-language-model",78316386,2640,1712782354
78294720,"Error when calling Hugging Face load_dataset(&quot;glue&quot;, &quot;mrpc&quot;)",,"python,nlp,huggingface,huggingface-datasets",78310683,456,1712604073
78285447,What&#39;s inside inner vertices in Word2Vec Hierarchical Softmax?,,"machine-learning,nlp,word2vec,hierarchical,softmax",78313102,148,1712427341
78285241,Extracting dates from a sentence in spaCy,,"python,regex,nlp,spacy,named-entity-recognition",78285614,79,1712423559
78284866,What is the best function/stage to use tokenizer in Pytorch&#39;s data processing?,,"pytorch,nlp",78324875,1651,1712416485
78266192,Python Spacy Pattern- How to tag a word based on another word?,,"python,nlp,spacy",78266459,47,1712131629
78262529,Gensim&#39;s Doc2Vec with documents in multiple languages,,"python,nlp,gensim,recommendation-engine,doc2vec",78318248,142,1712072850
78258373,Get previous sentence while using SpaCy matcher,,"python,nlp,spacy",78259079,50,1712016891
78241665,"How to detect if two sentences are simmilar, not in meaning, but in syllables/words?",,"search,nlp,full-text-search,similarity,sentence-similarity",78259030,126,1711678118
78240828,Is BertForSequenceClassification using the CLS vector?,,"nlp,huggingface-transformers,bert-language-model",78464905,216,1711659257
78219076,How to remove layers in Huggingface&#39;s transformers GPT2 pre-trained models?,,"python,machine-learning,deep-learning,nlp,transformer-model",78219403,345,1711369695
78211318,How can i get the first content of a python synsets list?,,"python,nlp,nltk,sentiment-analysis,synset",78211341,43,1711205598
78184077,Solution to solve problem different results when run Doc2vec gensim?,,"nlp,doc2vec",78186747,43,1710818417
78157864,How to optimize the function which uses looping on lists on pandas dataframe?,,"python,python-3.x,pandas,list,nlp",78158348,94,1710384992
78140912,SpaCy: Regex pattern does not work in rule-based matcher,,"python,nlp,spacy,named-entity-recognition",78166068,97,1710163199
78136056,Torchtext functions in Newest version analogue,,"nlp,version,torchtext",78151058,157,1710077818
