question_id,title,description,tags,accepted_answer_id,view_count,creation_date,clean_title,clean_description,combined_text
79559702,NameError: name &#39;init_empty_weights&#39; is not defined while using hugging face models,,"nlp,huggingface-transformers,huggingface",79577000,645,1744023761,nameerror name 39initemptyweights39 defined using hugging face models,nan,nameerror name 39initemptyweights39 defined using hugging face models nan
79549787,Why does Presidio with spacy nlp engine not recognize organizations and PESEL while spaCy does?,,"python,nlp,spacy,presidio",79552218,99,1743573371,presidio spacy nlp engine recognize organizations pesel spacy,nan,presidio spacy nlp engine recognize organizations pesel spacy nan
79548202,"GPT-2 and other models from huggingface -100 label index for training, instead of pad token",,"nlp,huggingface-transformers,pre-trained-model",79551169,55,1743499277,gpt2 models huggingface 100 label index training instead pad token,nan,gpt2 models huggingface 100 label index training instead pad token nan
79523269,Trouble getting importing gensim to work in colab,,"numpy,nlp,dependencies,google-colaboratory,gensim",79523777,222,1742481362,trouble getting importing gensim work colab,nan,trouble getting importing gensim work colab nan
79501178,Store images instead of showing in a server,,"python,nlp,large-language-model",79501337,39,1741704631,store images instead showing server,nan,store images instead showing server nan
79482283,Presidio with Langchain Experimental does not detect Polish names,,"python,nlp,spacy,langchain,presidio",79495969,241,1741040827,presidio langchain experimental detect polish names,nan,presidio langchain experimental detect polish names nan
79459888,OpenNLP POSTaggerME and ChunkerME synergy,,"nlp,opennlp",79475445,42,1740240371,opennlp postaggerme chunkerme synergy,nan,opennlp postaggerme chunkerme synergy nan
79419884,Underfitting Pre-Trained Glove + LSTM Model: Accurcacy Unchanged,,"keras,deep-learning,nlp,lstm,sentiment-analysis",79425201,50,1738896505,underfitting pretrained glove lstm model accurcacy unchanged,nan,underfitting pretrained glove lstm model accurcacy unchanged nan
79330283,Can&#39;t compile Marian NMT,,"gcc,cmake,nlp,g++",79332711,76,1736057099,can39t compile marian nmt,nan,can39t compile marian nmt nan
79328514,how to get custom column in the model&#39;s forward() function when training with Huggingface Trainer?,,"pytorch,nlp,large-language-model,huggingface-trainer",79328698,44,1735981064,get custom column model39s forward function training huggingface trainer,nan,get custom column model39s forward function training huggingface trainer nan
79312133,Getting all leaf words (reverse stemming) into one Python List,,"python,nlp,nltk",79312987,54,1735311845,getting leaf words reverse stemming one python list,nan,getting leaf words reverse stemming one python list nan
79298368,Inspect all probabilities of BERTopic model,,"python,nlp,topic-modeling",79299703,61,1734727774,inspect probabilities bertopic model,nan,inspect probabilities bertopic model nan
79293919,Determining most popular words in the English dictionary within a dictionary of words,,"python,nlp,nltk,detection",79294074,73,1734603844,determining popular words english dictionary within dictionary words,nan,determining popular words english dictionary within dictionary words nan
79293889,catelog sentences into 5 words that represent them,,"python,pandas,nlp,text-mining,similarity",79294099,57,1734603407,catelog sentences 5 words represent,nan,catelog sentences 5 words represent nan
79253283,Counting the Frequency of Some Words within some other Key Words in Text,,"python,pandas,nlp",79263000,84,1733367906,counting frequency words within key words text,nan,counting frequency words within key words text nan
79247672,Error in getting Captum text explanations for text classification,,"machine-learning,pytorch,nlp,huggingface-transformers,text-classification",79248379,92,1733230065,error getting captum text explanations text classification,nan,error getting captum text explanations text classification nan
79247594,euclidian distance from word to sentence after doing Vectorizer,,"pandas,dataframe,nlp,text-classification,tf-idf",79248087,46,1733228705,euclidian distance word sentence vectorizer,nan,euclidian distance word sentence vectorizer nan
79234004,Llama-3.2-1B-Instruct generate inconsistent output,,"python,nlp,huggingface-transformers,large-language-model",79246602,696,1732798957,llama321binstruct generate inconsistent output,nan,llama321binstruct generate inconsistent output nan
79192130,Using an AWS service to execute a python script that will extract keywords from text using keyBERT?,,"python,amazon-web-services,aws-lambda,nlp,large-language-model",79192427,60,1731669216,using aws service execute python script extract keywords text using keybert,nan,using aws service execute python script extract keywords text using keybert nan
79178041,Normalization of token embeddings in BERT encoder blocks,,"nlp,normalization,bert-language-model,attention-model",79238393,180,1731335431,normalization token embeddings bert encoder blocks,nan,normalization token embeddings bert encoder blocks nan
79173053,How to convert character indices to BERT token indices,,"python,nlp,dataset,large-language-model,bert-language-model",79175157,39,1731165333,convert character indices bert token indices,nan,convert character indices bert token indices nan
79159805,How can I share a complex spaCy NLP model across multiple Python processes to minimize memory usage?,,"nlp,multiprocessing,python-multiprocessing,spacy",79162232,97,1730821773,share complex spacy nlp model across multiple python processes minimize memory usage,nan,share complex spacy nlp model across multiple python processes minimize memory usage nan
79155290,"Dutch sentiment analysis RobBERTje outputs just positive/negative labels, netural label is missing",,"python,nlp,bert-language-model,roberta-language-model",79155380,58,1730720195,dutch sentiment analysis robbertje outputs positivenegative labels netural label missing,nan,dutch sentiment analysis robbertje outputs positivenegative labels netural label missing nan
79148979,Finding Root Form of Verbs using Curiosity-AI/Catalyst,,"c#,nlp",79160163,143,1730483881,finding root form verbs using curiosityaicatalyst,nan,finding root form verbs using curiosityaicatalyst nan
79145419,Is it possible to get embeddings from NV-Embed using Candle?,,"machine-learning,rust,nlp",79156470,336,1730390149,possible get embeddings nvembed using candle,nan,possible get embeddings nvembed using candle nan
79111733,"How to derive attributes/labels from short plain text descriptions? (NER, LLM, ?)",,"nlp,artificial-intelligence,large-language-model,named-entity-recognition",79113907,185,1729544096,derive attributeslabels short plain text descriptions ner llm,nan,derive attributeslabels short plain text descriptions ner llm nan
79102797,Varying embedding dim due to changing padding in batch size,,"python,text,nlp,padding,data-preprocessing",79105117,49,1729266891,varying embedding dim due changing padding batch size,nan,varying embedding dim due changing padding batch size nan
